rec-id,gender,given-name,surname,postcode,city,telephone-number,credit-card-number,income-normal,age-uniform,income,age,sex,blood-pressure
rec-0000-org,male,katelyn,krzyszton,2604,sydney,07 8159 5895,6125 1775 0375 3987,22855.98,120,9121.3,56,na,81.457
rec-0001-dup-0,,taylor-saig,scolberg,2905,pdrth,03 8193 2840,7017 6052 320 8941,37917.95,3,201419.5,89,f,78.934
rec-0001-dup-1,,tayloah-saige,schplberg,290t,perth,,7017 6052 3240 8941,37917.95,3,201419.5,89,f,78.934
rec-0001-dup-2,male,daylor-saige,scholperg,missing,perdh,03 8193 2840,7017 6052 340 8941,37917.95,3,201419.5,89,f,78.934
rec-0001-org,male,taylor-saige,scholberg,2905,perth,03 8193 2840,7017 6052 3240 8941,37917.95,3,201419.5,89,f,78.934
rec-0002-dup-0,,isabelja,tzouris,2903,sydney,,6379 6542 368 5188,96328.91,112,47285.9,24,f,78.269
rec-0002-dup-1,,istabella,tzouris,290e,,07 6667 5322,6379 6542 3668 5188,96328.91,112,47285.9,24,f,78.269
rec-0002-org,male,isabella,tsouris,2903,sydney,07 6667 5322,6379 6542 3668 5188,96328.91,112,47285.9,24,f,78.269
rec-0003-dup-0,,carejse,muzolino,2902,canberra,,4235 6120 5596 9327,36770.93,60,49829.2,99,m,74.647
rec-0003-org,female,caresse,musolino,2902,canberra,07 8698 8165,4235 6120 5596 9327,36770.93,60,49829.2,90,m,74.647
rec-0004-dup-0,female,mikaili,maklucas,260u,brisbane,,9566 1971 278 8173,63913.70,22,56125.3,62,m,72.236
rec-0004-dup-1,,mikhali,maklucas,2607,prisbane,,9566 1971 0278 8173,63913.70,22,56125.3,62,m,72.236
rec-0004-dup-2,,mikhaili,maclukas,2607,brisbanw,,9566 1971 02788173,63913.70,22,56125.3,62,m,72.236
rec-0004-org,female,mikhaili,maclucas,2607,brisbane,02 6090 4063,9566 1971 0278 8173,63913.70,22,56125.3,62,m,72.236
rec-0005-org,male,jade,desaro,2611,sydney,04 9485 3556,8559 9568 8734 8287,5042.88,18,65411.3,43,na,74.714
rec-0006-dup-0,male,biancs,heahbert,2t11,,,7513 5380 3798 4597,53679.48,25,74188.2,77,na,76.555
rec-0006-dup-1,,pianca,erbert,2611,melbourje,07 8012 5858,75132 5380 3798 4597,53679.48,25,74188.2,77,na,76.555
rec-0006-org,male,bianca,herbert,2611,melbourne,07 8012 5858,7513 5380 3798 4597,53679.48,25,74188.2,77,na,76.555
rec-0007-dup-0,,zara,milburri,261y,perth,,8969 27426449 2261,32196.91,31,88927.6,17,m,79.958
rec-0007-dup-1,,jara,milbuahn,2617,perth,,8969 2742 6449 2261,32196.91,31,88927.6,15,m,79.958
rec-0007-dup-2,,jara,milpurn,2617,perth,07 4038 6576,8969 27422 6449 2261,32196.91,31,88927.6,1,m,79.958
rec-0007-org,female,zara,milburn,2617,perth,07 4038 6576,8969 2742 6449 2261,32196.91,31,88927.6,17,m,79.958
rec-0008-org,female,jayme,green,2611,hobart,03 6577 2510,4775 1701 0496 2521,50628.17,5,91641.4,77,f,74.075
rec-0009-dup-0,,tarai,geaahman,2903,melbourne,,9486 7887 96642 2765,36449.41,43,50580.7,20,na,79.994
rec-0009-org,male,tara,gearman,2903,melbourne,04 2467 6728,9486 7887 9662 2765,36449.41,43,50580.7,20,na,79.994
rec-0010-org,male,fyynlay,wintulich,2615,perth,04 6989 2785,7760 2452 8483 6380,52161.39,73,100385.0,91,f,77.557
rec-0011-org,female,alice,kromwyk,2611,brisbane,04 5904 2482,1789 9728 9016 8668,45692.33,120,92654.4,71,f,74.344
rec-0012-org,female,brianna,babos,2614,perth,04 6797 0391,3649 3191 6671 6712,78858.67,42,37808.4,93,f,73.689
rec-0013-org,male,rebekah,allsopp,2602,sydney,03 1275 5290,9537 6230 1583 3827,37224.57,18,68169.5,30,na,73.708
rec-0014-org,male,jacqueline,coulson,2905,melbourne,07 8597 4089,4051 1899 7546 1013,63500.92,60,20225.8,48,f,73.978
